文献编号 (Ref_ID),Material_Type,纳米特征尺寸（Nanoscale_Dimension_nm),表面官能团修饰 (Functional Group),Temperature_K,初始实验压力 (Pressure_MPa),纳米材料促进剂浓度 (Nano_Concentration_wt%),动力学促进剂种类,动力学促进剂浓度（Surfactant_wt%）,热力学促进剂种类,热力学促进剂浓度（Themo_promoter_wt%）,Stirring_rpm,储气量Y ng/nw),,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.0045,None,0,None,0,400,0.0385,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.005,None,0,None,0,400,0.0391,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.0055,None,0,None,0,400,0.0388,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.0065,None,0,None,0,400,0.0385,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.0075,None,0,None,0,400,0.0377,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.008,None,0,None,0,400,0.0375,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.01,None,0,None,0,400,0.037,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.02,None,0,None,0,400,0.036,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.03,None,0,None,0,400,0.0355,,,,
Li_2019,None,0,None,274.15,5,0,None,0,None,0,400,0.0447,,,,
Li_2019,None,0,None,274.15,5,0,SDS,0.05,None,0,400,0.0452,,,,
Li_2019,Silica,23.5,None,274.15,5,0.005,SDS,0.05,None,0,400,0.0434,,,,
Li_2019,Silica,23.5,None,274.15,5,0.007,SDS,0.05,None,0,400,0.044,,,,
Li_2019,Silica,23.5,None,274.15,5,0.01,SDS,0.05,None,0,400,0.0443,,,,
Li_2019,Silica,23.5,None,274.15,5,0.015,SDS,0.05,None,0,400,0.0441,,,,
Li_2019,Silica,23.5,None,274.15,5,0.018,SDS,0.05,None,0,400,0.0447,,,,
Li_2019,Metal_Oxide,17.5,None,274.15,5,0.0008,SDS,0.05,None,0,400,0.0441,,,,
Li_2019,Metal_Oxide,17.5,None,274.15,5,0.001,SDS,0.05,None,0,400,0.044,,,,
Li_2019,Metal_Oxide,17.5,None,274.15,5,0.002,SDS,0.05,None,0,400,0.0436,,,,
Li_2019,Metal_Oxide,17.5,None,274.15,5,0.005,SDS,0.05,None,0,400,0.0434,,,,
Li_2019,Metal_Oxide,17.5,None,274.15,5,0.01,SDS,0.05,None,0,400,0.0446,,,,
Li_2019,Carbon,15,None,274.15,5,0.002,SDS,0.05,None,0,400,0.0438,,,,
Li_2019,Carbon,15,None,274.15,5,0.003,SDS,0.05,None,0,400,0.0431,,,,
Li_2019,Carbon,15,None,274.15,5,0.005,SDS,0.05,None,0,400,0.0445,,,,
Li_2019,Carbon,15,None,274.15,5,0.01,SDS,0.05,None,0,400,0.0463,,,,
Li_2019,Carbon,15,None,274.15,5,0.015,SDS,0.05,None,0,400,0.0454,,,,
Omar Nashed 2019,None,0,None,274.15,2.7,0,None,0,None,0,600,0.023,,,,
Omar Nashed 2019,None,0,None,274.15,2.7,0,SDS,0.03,None,0,600,0.037,,,,
Omar Nashed 2019,Carbon,25,None,274.15,2.7,0.005,SDS,0.03,None,0,600,0.034,,,,
Omar Nashed 2019,Carbon,25,None,274.15,2.7,0.01,SDS,0.03,None,0,600,0.037,,,,
Omar Nashed 2019,Carbon,25,None,274.15,2.7,0.1,SDS,0.03,None,0,600,0.03,,,,
Omar Nashed 2019,Carbon,25,None,274.15,2.7,0.05,SDS,0.03,None,0,600,0.036,,,,
Omar Nashed 2019,Carbon,25,Oxygen,274.15,2.7,0.005,SDS,0.03,None,0,600,0.0345,,,,
Omar Nashed 2019,Carbon,25,Oxygen,274.15,2.7,0.05,SDS,0.03,None,0,600,0.037,,,,
Omar Nashed 2019,Carbon,25,Oxygen,274.15,2.7,0.01,SDS,0.03,None,0,600,0.035,,,,
Omar Nashed 2019,Carbon,25,Oxygen,274.15,2.7,0.1,SDS,0.03,None,0,600,0.033,,,,
Omar Nashed 2019,Carbon,25,Oxygen,274.15,2.7,0.01,SDS,0.03,None,0,600,0.037,,,,
Omar Nashed 2019,Carbon,25,Oxygen,274.15,2.7,0.005,SDS,0.03,None,0,600,0.032,,,,
Omar Nashed 2019,Carbon,25,Oxygen,274.15,2.7,0.05,SDS,0.03,None,0,600,0.037,,,,
Omar Nashed 2019,Carbon,25,Oxygen,274.15,2.7,0.1,SDS,0.03,None,0,600,0.0355,,,,
Zhou 2014,Carbon,50,None,277.15,3.5,0.4,None,0,None,0,300,0.0222,,,,
Zhou 2014,None,0,None,277.15,3.5,0,None,0,None,0,300,0.0196,,,,
Yu 2018,None,0,None,277.15,3.5,0,None,0,None,0,300,0.0198,,,,
Yu 2018,Carbon,50,None,277.15,3.5,0.4,None,0,None,0,300,0.0225,,,,
Yu 2018,Carbon,50,None,277.15,3.5,0.4,SDBS,0.02,None,0,300,0.0306,,,,
Yu 2018,Carbon,50,None,277.15,3.5,0.4,SDBS,0.04,None,0,300,0.0369,,,,
Yu 2018,Carbon,50,None,277.15,3.5,0.4,SDBS,0.06,None,0,300,0.0288,,,,
Yu 2018,Carbon,50,None,277.15,3.5,0.4,SDBS,0.08,None,0,300,0.0243,,,,
Zhou 2018,None,0,None,277.15,4.5,0,None,0,TBAB,9.01,300,0.0159,,,,
Zhou 2018,Carbon,50,None,277.15,4.5,0.04,None,0,TBAB,9.01,300,0.0166,,,,
Zhou 2018,Carbon,50,None,277.15,4.5,0.06,None,0,TBAB,9.01,300,0.0171,,,,
Zhou 2018,Carbon,50,None,277.15,4.5,0.08,None,0,TBAB,9.01,300,0.018,,,,
Zhou 2018,Carbon,50,None,277.15,4.5,0.1,None,0,TBAB,9.01,300,0.0169,,,,
Mohammadi 2014,None,0,None,273.65,2.05,0,None,0,None,0,25,0.0182,,,,
Mohammadi 2014,None,0,None,273.65,2.05,0,SDS,0.05,None,0,25,0.0203,,,,
Mohammadi 2014,Metal,35,None,273.65,2.08,0.000485,None,0,None,0,25,0.0208,,,,
Mohammadi 2014,Metal,35,None,273.65,2.11,0.000485,SDS,0.05,None,0,25,0.0227,,,,
Mohammadi 2014,None,0,None,273.65,3.14,0,None,0,None,0,25,0.0422,,,,
Mohammadi 2014,None,0,None,273.65,2.97,0,SDS,0.05,None,0,25,0.0393,,,,
Mohammadi 2014,Metal,35,None,273.65,3.24,0.000485,None,0,None,0,25,0.042,,,,
Mohammadi 2014,Metal,35,None,273.65,3.08,0.00097,None,0,None,0,25,0.0407,,,,
Mohammadi 2014,Metal,35,None,273.65,3.03,0.000485,SDS,0.05,None,0,25,0.0608,,,,
Mohammadi 2014,None,0,None,275.65,2,0,None,0,None,0,25,0.0164,,,,
Mohammadi 2014,None,0,None,275.65,2.18,0,SDS,0.05,None,0,25,0.017,,,,
Mohammadi 2014,Metal,35,None,275.65,2.02,0.000485,None,0,None,0,25,0.0165,,,,
Mohammadi 2014,None,0,None,275.65,3.06,0,None,0,None,0,25,0.0401,,,,
Mohammadi 2014,None,0,None,275.65,2.91,0,SDS,0.03,None,0,25,0.0425,,,,
Mohammadi 2014,None,0,None,275.65,2.93,0,SDS,0.05,None,0,25,0.0421,,,,
Mohammadi 2014,Metal,35,None,275.65,3.15,0.000485,None,0,None,0,25,0.0416,,,,
Mohammadi 2014,Metal,35,None,275.65,3.22,0.00097,None,0,None,0,25,0.0429,,,,
Mohammadi 2016,None,0,None,274,2.2,0,None,0,None,0,500,0.0108,,,,
Mohammadi 2016,Metal_Oxide,30,None,274,2.2,0.1,None,0,None,0,500,0.0126,,,,
Mohammadi 2016,None,0,None,274,2.6,0,None,0,None,0,500,0.015,,,,
Mohammadi 2016,None,0,None,274,2.6,0,SDS,0.1,None,0,500,0.0158,,,,
Mohammadi 2016,Metal_Oxide,30,None,274,2.6,0.1,None,0,None,0,500,0.0162,,,,
Mohammadi 2016,Metal_Oxide,30,None,274,2.6,0.1,SDS,0.1,None,0,500,0.0168,,,,
Mohammadi 2016,None,0,None,274,3.2,0,None,0,None,0,500,0.024,,,,
Mohammadi 2016,None,0,None,274,3.2,0,SDS,0.1,None,0,500,0.0247,,,,
Mohammadi 2016,Metal_Oxide,30,None,274,3.2,0.1,None,0,None,0,500,0.0254,,,,
Mohammadi 2016,Metal_Oxide,30,None,274,3.2,0.1,SDS,0.1,None,0,500,0.0267,,,,
Zhou2024,None,0,None,274.65,4,0,None,0,None,0,600,0.0808,,,,
Zhou2024,None,0,None,274.65,4,0,Amino_Acid,0.1,None,0,600,0.0902,,,,
Zhou2024,None,0,None,274.65,4,0,Amino_Acid,0.15,None,0,600,0.0932,,,,
Zhou2024,None,0,None,274.65,4,0,Amino_Acid,0.2,None,0,600,0.0951,,,,
Zhou2024,None,0,None,274.65,4,0,Amino_Acid,0.5,None,0,600,0.0909,,,,
Zhou2024,None,0,None,274.65,4,0,Amino_Acid,1,None,0,600,0.0856,,,,
Zhou2024,Carbon,1,Oxygen,274.65,4,0.01,None,0,None,0,600,0.0875,,,,
Zhou2024,Carbon,1,Oxygen,274.65,4,0.02,None,0,None,0,600,0.0919,,,,
Zhou2024,Carbon,1,Oxygen,274.65,4,0.025,None,0,None,0,600,0.0881,,,,
Zhou2024,Carbon,1,Oxygen,274.65,4,0.03,None,0,None,0,600,0.0871,,,,
Zhou2024,Carbon,1,Oxygen,274.65,4,0.035,None,0,None,0,600,0.0845,,,,
Zhou2024,Carbon,1,Oxygen,274.65,4,0.01,Amino_Acid,0.2,None,0,600,0.0913,,,,
Zhou2024,Carbon,1,Oxygen,274.65,4,0.02,Amino_Acid,0.2,None,0,600,0.0939,,,,
Zhou2024,Carbon,1,Oxygen,274.65,4,0.025,Amino_Acid,0.2,None,0,600,0.0933,,,,
Zhou 2024,None,0,None,274.95,3,0,None,0,None,0,600,0.0503,,,,
Zhou 2024,None,0,None,274.95,3,0,Amino_Acid,0.125,None,0,600,0.0614,,,,
Zhou 2024,Carbon,15,None,274.95,3,0.009,Amino_Acid,0.125,None,0,600,0.0675,,,,
Zhou 2024,Carbon,15,None,274.95,3,0.027,Amino_Acid,0.125,None,0,600,0.0722,,,,
Zhou 2024,Carbon,15,None,274.95,3,0.045,Amino_Acid,0.125,None,0,600,0.0765,,,,
Zhou 2024,Carbon,15,None,274.95,3,0.072,Amino_Acid,0.125,None,0,600,0.0794,,,,
Zhou 2024,None,0,None,274.95,3.5,0,None,0,None,0,600,0.0474,,,,
Zhou 2024,None,0,None,274.95,3.5,0,Amino_Acid,0.125,None,0,600,0.0652,,,,
Zhou 2024,Carbon,15,None,274.95,3.5,0.009,Amino_Acid,0.125,None,0,600,0.0701,,,,
Zhou 2024,Carbon,15,None,274.95,3.5,0.027,Amino_Acid,0.125,None,0,600,0.076,,,,
Zhou 2024,Carbon,15,None,274.95,3.5,0.045,Amino_Acid,0.125,None,0,600,0.0873,,,,
Zhou 2024,Carbon,15,None,274.95,3.5,0.072,Amino_Acid,0.125,None,0,600,0.0835,,,,
Zhou 2024,None,0,None,274.95,4,0,None,0,None,0,600,0.0581,,,,
Zhou 2024,None,0,None,274.95,4,0,Amino_Acid,0.125,None,0,600,0.066,,,,
Zhou 2024,Carbon,15,None,274.95,4,0.009,Amino_Acid,0.125,None,0,600,0.076,,,,
Zhou 2024,Carbon,15,None,274.95,4,0.027,Amino_Acid,0.125,None,0,600,0.0816,,,,
Zhou 2024,Carbon,15,None,274.95,4,0.045,Amino_Acid,0.125,None,0,600,0.0867,,,,
Zhou 2024,Carbon,15,None,274.95,4,0.072,Amino_Acid,0.125,None,0,600,0.0892,,,,
Deng 2023,None,0,None,274.2,3.1,0,None,0,None,0,0,0,,,,
Deng 2023,Carbon,35,Fluorine,274.2,3.1,1,None,0,None,0,0,0.0636,,,,
Deng 2023,None,0,None,274.2,3.1,0,SDS,0.01,None,0,0,0.0218,,,, 
Deng 2023,None,0,None,274.2,3.1,0,SDS,0.03,None,0,0,0.0286,,,,
Deng 2023,None,0,None,274.2,3.1,0,SDS,0.05,None,0,0,0.0261,,,,
Deng 2023,Carbon,35,Fluorine,274.2,3.1,1,SDS,0.01,None,0,0,0.0726,,,,
Deng 2023,Carbon,35,Fluorine,274.2,3.1,1,SDS,0.03,None,0,0,0.0904,,,,
Deng 2023,Carbon,35,Fluorine,274.2,3.1,1,SDS,0.05,None,0,0,0.0746,,,,
Deng 2023,Carbon,35,Fluorine,274.2,3.1,0.5,None,0,None,0,0,0.0564,,,,
Deng 2023,Carbon,35,Fluorine,274.2,3.1,0.5,SDS,0.03,None,0,0,0.0589,,,,
Deng 2023,Carbon,35,Fluorine,274.2,3.1,2,None,0,None,0,0,0.0604,,,,
Deng 2023,Carbon,35,Fluorine,274.2,3.1,2,SDS,0.03,None,0,0,0.0827,,,,
Wang 2023,None,0,None,275.15,3.7,0,SDS,0.0288,None,0,800,0.052,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.005,SDS,0.2,None,0,450,0.0595,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.005,SDS,0.3,None,0,450,0.0584,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.005,SDS,0.05,None,0,450,0.0583,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.005,None,0,None,0,450,0.0567,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.005,SDS,0.03,None,0,450,0.0559,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.005,SDS,0.005,None,0,450,0.0542,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.005,SDS,0.2,None,0,450,0.0629,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.1,SDS,0.2,None,0,450,0.0599,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.003,SDS,0.2,None,0,450,0.0598,,,,
Li 2020,None,0,None,281.15,4,0,None,0,None,0,450,0.059,,,,
Li 2020,Carbon,1,Oxygen,281.15,4,0.2,SDS,0.2,None,0,450,0.0559,,,,
代文杰 2016,Carbon,1,Oxygen,279.15,3.5,0.02,None,0,None,0,400,0.0264,,,,
代文杰 2016,Carbon,1,Oxygen,279.15,3.7,0.02,None,0,None,0,400,0.0285,,,,
代文杰 2016,Carbon,1,Oxygen,279.15,4,0.02,None,0,None,0,400,0.0376,,,,
代文杰 2016,Carbon,1,Oxygen,279.15,4.5,0.02,None,0,None,0,400,0.0333,,,,
代文杰 2016,Carbon,1,Oxygen,279.15,5,0.02,None,0,None,0,400,0.0305,,,,
夏晨清 2025,None,0,None,275.15,4,0,None,0,None,0,650,0.0558,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.005,None,0,None,0,650,0.0602,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.01,None,0,None,0,650,0.0625,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.015,None,0,None,0,650,0.0636,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.02,None,0,None,0,650,0.0649,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.025,None,0,None,0,650,0.0651,,,,
夏晨清 2025,None,0,None,275.15,4,0,Amino_Acid,0.1,None,0,650,0.0638,,,,
夏晨清 2025,None,0,None,275.15,4,0,Amino_Acid,0.15,None,0,650,0.0674,,,,
夏晨清 2025,None,0,None,275.15,4,0,Amino_Acid,0.2,None,0,650,0.0672,,,,
夏晨清 2025,None,0,None,275.15,4,0,Amino_Acid,0.25,None,0,650,0.0651,,,,
夏晨清 2025,None,0,None,275.15,4,0,Amino_Acid,0.3,None,0,650,0.0656,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.01,Amino_Acid,0.15,None,0,650,0.0651,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.015,Amino_Acid,0.15,None,0,650,0.0672,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.01,Amino_Acid,0.2,None,0,650,0.0659,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4,0.015,Amino_Acid,0.2,None,0,650,0.0654,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,3,0.015,Amino_Acid,0.15,None,0,650,0.0288,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,3.5,0.015,Amino_Acid,0.15,None,0,650,0.0484,,,,
夏晨清 2025,Carbon,1,Oxygen,275.15,4.5,0.015,Amino_Acid,0.15,None,0,650,0.0839,,,,
